N1,N2,N3,N4,N5,Star1,Star2,Probability
8,12,30,32,39,2,6,0.000200
6,15,25,40,48,1,9,0.000200
7,9,21,26,45,8,12,0.000200
5,27,28,31,42,7,12,0.000200
6,26,39,40,42,8,10,0.000200
22,37,41,45,49,9,12,0.000200
13,17,21,26,31,6,9,0.000200
6,22,26,33,48,1,3,0.000200
4,26,28,30,32,5,8,0.000200
1,4,25,32,48,1,7,0.000200
7,15,34,40,48,1,6,0.000200
4,12,14,16,43,9,11,0.000200
4,7,26,37,49,3,12,0.000200
7,17,25,39,50,4,8,0.000200
14,16,34,43,48,1,9,0.000200
2,6,23,29,44,7,11,0.000200
15,34,36,49,50,10,11,0.000200
8,9,23,25,41,3,6,0.000200
1,8,11,22,39,3,9,0.000200
4,9,20,36,50,5,6,0.000200
5,9,18,33,39,1,8,0.000200
2,9,13,21,44,2,9,0.000200
7,21,27,42,45,7,8,0.000200
12,13,14,17,38,1,10,0.000200
7,19,26,29,44,2,3,0.000200
1,4,20,26,29,8,10,0.000200
3,24,47,49,50,3,9,0.000200
1,17,30,36,40,4,7,0.000200
5,9,21,47,48,3,9,0.000200
5,9,12,16,42,1,6,0.000200
1,2,23,35,44,2,3,0.000200
11,19,23,31,44,7,10,0.000200
7,21,22,24,35,6,8,0.000200
4,13,16,33,42,6,11,0.000200
1,31,32,34,42,5,9,0.000200
1,27,28,39,49,1,3,0.000200
1,16,21,23,40,3,5,0.000200
14,20,35,37,42,7,8,0.000200
11,13,35,42,48,5,10,0.000200
23,24,28,30,35,6,7,0.000200
18,29,31,39,40,2,4,0.000200
8,18,21,29,38,4,9,0.000200
10,11,15,19,25,7,10,0.000200
1,20,31,40,44,1,3,0.000200
20,27,31,33,43,6,11,0.000200
6,23,29,34,42,2,7,0.000200
2,13,21,26,50,2,6,0.000200
6,7,29,36,46,8,10,0.000200
2,7,10,37,46,6,7,0.000200
6,9,17,39,44,5,7,0.000200
9,13,25,47,49,1,6,0.000200
12,14,17,27,50,7,8,0.000200
32,38,42,46,50,4,6,0.000200
5,10,24,39,42,1,12,0.000200
19,26,27,37,47,1,4,0.000200
9,13,16,36,43,3,7,0.000200
30,32,37,46,49,4,5,0.000200
15,24,31,37,49,1,7,0.000200
21,26,38,40,42,7,11,0.000200
26,29,32,43,50,8,11,0.000200
10,27,30,49,50,3,6,0.000200
5,7,13,25,43,3,10,0.000200
29,31,37,40,45,3,12,0.000200
14,19,43,47,50,3,5,0.000200
3,5,34,43,46,3,10,0.000200
8,21,37,38,44,5,8,0.000200
9,27,39,47,49,5,7,0.000200
7,14,29,31,48,5,9,0.000200
4,14,19,39,41,3,4,0.000200
19,20,24,25,42,7,8,0.000200
16,18,24,27,29,2,5,0.000200
3,7,14,17,43,3,6,0.000200
26,28,34,44,46,6,8,0.000200
1,4,13,14,29,7,8,0.000200
4,13,31,40,49,6,12,0.000200
6,9,10,19,31,1,8,0.000200
23,29,32,35,44,1,11,0.000200
11,20,35,41,46,4,6,0.000200
1,15,18,22,39,7,8,0.000200
1,2,13,14,45,4,7,0.000200
3,25,26,31,38,3,11,0.000200
8,15,17,20,32,1,3,0.000200
4,15,16,27,34,3,10,0.000200
1,23,25,44,47,8,12,0.000200
2,5,29,31,44,5,6,0.000200
4,11,13,31,41,2,8,0.000200
1,10,26,28,38,1,12,0.000200
4,11,20,26,49,3,4,0.000200
2,18,29,31,35,2,10,0.000200
18,26,27,34,45,3,7,0.000200
4,14,19,28,50,3,7,0.000200
5,20,35,40,49,2,10,0.000200
1,36,38,47,50,4,6,0.000200
2,5,6,7,12,5,6,0.000200
7,12,22,28,40,3,11,0.000200
1,20,23,29,43,2,12,0.000200
7,17,24,27,45,2,8,0.000200
17,24,35,37,48,2,3,0.000200
8,12,25,38,41,2,8,0.000200
1,16,29,44,49,4,10,0.000200
4,24,32,38,49,2,3,0.000200
2,4,21,25,29,2,6,0.000200
7,20,33,41,46,2,3,0.000200
6,7,13,15,16,2,8,0.000200
2,10,15,18,31,3,6,0.000200
7,39,43,47,48,3,8,0.000200
7,20,22,28,36,5,7,0.000200
21,25,30,34,35,2,10,0.000200
10,27,37,40,42,11,12,0.000200
5,21,25,28,39,6,8,0.000200
5,10,13,18,31,7,9,0.000200
13,18,29,33,36,1,10,0.000200
5,11,17,36,49,6,7,0.000200
2,30,32,34,40,4,9,0.000200
4,26,38,43,50,2,7,0.000200
8,12,24,30,50,5,7,0.000200
1,4,8,21,28,2,8,0.000200
5,8,17,19,20,2,9,0.000200
1,10,14,27,47,2,4,0.000200
14,21,26,32,41,6,8,0.000200
23,25,34,41,44,11,12,0.000200
3,4,23,40,47,2,9,0.000200
8,13,17,22,50,9,11,0.000200
14,21,32,33,47,2,7,0.000200
11,19,24,31,37,6,8,0.000200
4,8,15,31,42,1,9,0.000200
14,28,37,46,48,7,11,0.000200
3,6,9,21,42,4,11,0.000200
12,20,22,37,45,6,7,0.000200
6,18,21,36,38,2,6,0.000200
1,11,23,26,39,1,5,0.000200
34,37,44,46,47,4,6,0.000200
14,23,31,47,50,1,6,0.000200
10,29,40,41,47,3,8,0.000200
4,26,28,38,50,7,8,0.000200
6,15,27,30,31,1,12,0.000200
5,25,30,32,37,2,6,0.000200
12,40,44,45,48,4,8,0.000200
25,26,28,39,48,3,9,0.000200
10,12,18,25,34,2,12,0.000200
2,16,19,48,49,8,10,0.000200
23,30,34,39,49,4,7,0.000200
6,12,23,24,39,4,6,0.000200
4,23,26,36,46,1,3,0.000200
18,28,37,48,49,3,4,0.000200
1,21,26,36,47,8,11,0.000200
6,9,10,34,38,10,11,0.000200
1,11,22,29,49,6,12,0.000200
17,35,36,44,50,3,11,0.000200
22,27,33,39,49,7,8,0.000200
4,12,34,37,44,2,5,0.000200
15,19,26,32,36,2,11,0.000200
11,14,21,24,35,5,8,0.000200
19,22,27,42,50,3,9,0.000200
17,18,31,39,48,2,11,0.000200
3,26,30,33,44,10,12,0.000200
9,11,17,32,37,1,5,0.000200
37,40,46,48,50,1,4,0.000200
9,16,27,28,36,1,8,0.000200
3,10,32,41,49,2,9,0.000200
8,10,11,22,50,1,5,0.000200
4,5,26,31,49,6,10,0.000200
18,19,21,28,35,2,5,0.000200
15,24,31,32,49,3,9,0.000200
1,9,26,35,45,8,10,0.000200
7,15,18,31,37,1,5,0.000200
4,6,11,27,45,2,6,0.000200
2,12,23,39,41,5,11,0.000200
6,11,24,38,40,2,9,0.000200
33,37,38,48,49,2,7,0.000200
1,2,18,27,34,5,12,0.000200
3,24,25,26,43,1,3,0.000200
1,5,11,28,36,4,6,0.000200
3,7,11,13,17,3,9,0.000200
15,17,20,41,44,5,8,0.000200
8,27,32,42,46,4,12,0.000200
8,9,16,32,40,4,8,0.000200
9,10,17,26,42,3,10,0.000200
1,7,12,45,47,2,7,0.000200
5,21,39,43,44,7,12,0.000200
3,7,9,20,33,8,10,0.000200
9,11,27,32,37,4,11,0.000200
9,17,18,19,31,4,9,0.000200
8,13,37,42,43,9,10,0.000200
10,13,32,34,35,6,12,0.000200
5,15,17,19,35,5,10,0.000200
7,9,22,39,44,3,9,0.000200
5,7,9,21,48,2,5,0.000200
3,4,11,19,42,3,9,0.000200
5,10,23,42,43,3,5,0.000200
7,11,13,20,40,5,12,0.000200
7,27,28,37,42,1,4,0.000200
13,24,25,28,49,6,11,0.000200
11,21,22,23,40,4,7,0.000200
1,20,28,31,34,1,4,0.000200
12,14,22,23,38,6,7,0.000200
5,13,20,46,50,2,5,0.000200
25,30,36,45,50,2,8,0.000200
1,21,33,36,48,2,10,0.000200
2,27,36,40,42,2,3,0.000200
4,13,22,42,46,7,11,0.000200
15,20,28,30,48,9,11,0.000200
3,17,23,31,36,6,8,0.000200
2,4,7,19,50,1,2,0.000200
2,12,13,42,49,2,5,0.000200
6,7,13,27,38,1,3,0.000200
6,10,14,26,44,8,9,0.000200
7,11,12,35,44,2,7,0.000200
6,18,26,29,39,4,5,0.000200
15,16,29,40,45,5,11,0.000200
4,8,27,40,47,3,8,0.000200
20,22,28,39,47,4,11,0.000200
1,18,22,23,30,1,5,0.000200
10,12,18,28,45,8,10,0.000200
1,3,26,39,42,8,11,0.000200
3,7,25,42,44,4,9,0.000200
3,13,19,20,28,1,2,0.000200
9,10,21,31,35,3,5,0.000200
3,10,15,35,36,3,5,0.000200
3,17,32,34,37,2,11,0.000200
1,4,36,42,46,2,7,0.000200
4,20,27,30,45,5,8,0.000200
9,20,24,25,46,3,7,0.000200
7,17,22,34,48,9,12,0.000200
12,19,22,23,37,4,8,0.000200
16,17,22,29,40,1,11,0.000200
1,2,18,25,36,1,2,0.000200
5,15,19,25,35,6,9,0.000200
4,24,30,37,42,6,9,0.000200
4,9,28,31,37,2,6,0.000200
14,16,28,37,40,3,8,0.000200
3,11,31,34,42,2,11,0.000200
8,13,30,33,36,3,8,0.000200
20,34,39,45,46,4,7,0.000200
2,4,6,17,25,2,11,0.000200
12,26,32,38,44,3,9,0.000200
2,7,9,19,32,3,6,0.000200
3,19,23,40,50,6,10,0.000200
2,21,28,31,41,3,5,0.000200
3,5,13,20,44,10,11,0.000200
7,25,26,27,32,1,8,0.000200
1,20,37,42,50,5,10,0.000200
1,3,16,18,44,1,3,0.000200
21,23,29,34,35,1,11,0.000200
13,26,31,33,42,3,11,0.000200
1,19,20,40,46,2,3,0.000200
1,11,14,22,33,3,5,0.000200
1,5,11,27,41,1,2,0.000200
25,29,34,43,46,6,7,0.000200
5,10,19,26,48,7,8,0.000200
15,16,30,32,46,10,12,0.000200
6,27,29,40,45,4,8,0.000200
16,19,20,30,48,1,5,0.000200
18,21,23,33,47,2,4,0.000200
1,9,22,25,38,1,11,0.000200
8,9,26,39,42,1,5,0.000200
2,3,15,19,44,2,7,0.000200
4,31,35,44,46,8,11,0.000200
3,7,21,34,41,1,8,0.000200
11,26,35,42,45,1,3,0.000200
6,32,35,38,39,9,11,0.000200
10,15,22,42,49,3,9,0.000200
1,15,17,37,44,1,4,0.000200
5,8,21,23,28,1,10,0.000200
4,18,22,39,49,3,9,0.000200
11,12,35,39,40,3,9,0.000200
1,5,18,49,50,1,8,0.000200
9,22,35,38,47,7,8,0.000200
20,21,28,32,49,2,5,0.000200
9,10,29,32,50,10,12,0.000200
5,14,27,31,44,4,5,0.000200
12,13,14,17,33,1,10,0.000200
13,25,28,30,44,5,7,0.000200
10,17,21,42,47,1,8,0.000200
9,12,16,26,49,3,12,0.000200
22,25,40,41,42,8,11,0.000200
7,22,31,42,50,7,8,0.000200
4,16,17,19,48,4,11,0.000200
16,25,32,43,47,1,3,0.000200
12,14,15,17,47,2,3,0.000200
3,6,29,30,32,1,8,0.000200
1,23,25,30,43,3,10,0.000200
9,11,36,39,40,7,9,0.000200
3,12,16,22,50,1,2,0.000200
2,7,14,23,50,6,11,0.000200
3,14,21,22,44,6,11,0.000200
3,7,20,25,43,7,9,0.000200
13,16,22,25,47,2,7,0.000200
8,12,21,26,34,4,6,0.000200
2,3,23,32,50,6,11,0.000200
14,25,36,39,50,2,7,0.000200
1,11,18,19,29,2,3,0.000200
11,12,27,46,50,7,9,0.000200
9,12,25,44,46,10,12,0.000200
13,23,25,34,44,6,7,0.000200
13,21,37,42,50,2,4,0.000200
17,32,40,44,49,1,8,0.000200
4,20,27,30,31,1,11,0.000200
7,9,19,27,34,2,8,0.000200
6,13,36,40,44,7,8,0.000200
14,27,32,34,50,5,10,0.000200
11,14,31,37,38,3,5,0.000200
4,5,8,9,48,3,4,0.000200
3,20,25,30,50,3,8,0.000200
12,18,29,32,48,3,5,0.000200
4,11,21,28,38,9,10,0.000200
8,9,25,39,48,4,7,0.000200
1,8,17,31,46,6,8,0.000200
22,24,29,36,45,2,7,0.000200
3,7,27,39,48,2,12,0.000200
24,27,33,39,43,7,11,0.000200
20,23,29,44,48,6,9,0.000200
14,25,32,40,44,8,9,0.000200
19,28,33,35,50,5,8,0.000200
12,15,27,37,44,5,11,0.000200
1,3,28,43,45,9,11,0.000200
9,11,31,36,50,1,3,0.000200
18,33,35,38,43,3,11,0.000200
4,12,26,27,31,1,9,0.000200
4,5,9,47,48,5,11,0.000200
3,6,35,37,50,9,12,0.000200
5,9,27,34,45,4,5,0.000200
5,16,23,28,35,2,3,0.000200
4,5,14,21,31,4,6,0.000200
4,13,18,21,36,7,11,0.000200
2,11,14,22,30,5,9,0.000200
22,29,44,47,50,4,5,0.000200
19,22,24,29,40,3,11,0.000200
6,8,12,28,47,7,8,0.000200
6,10,23,32,50,4,10,0.000200
7,14,15,18,50,9,12,0.000200
3,4,10,27,33,6,9,0.000200
5,10,19,38,46,4,12,0.000200
4,9,10,27,44,8,10,0.000200
4,12,19,21,31,5,9,0.000200
2,33,39,41,50,1,5,0.000200
11,12,32,39,41,4,9,0.000200
4,16,32,37,42,3,8,0.000200
2,28,32,38,44,3,6,0.000200
17,23,34,42,44,1,6,0.000200
5,21,24,31,49,2,8,0.000200
11,25,28,37,47,1,4,0.000200
1,10,16,17,32,2,9,0.000200
2,5,29,31,33,2,6,0.000200
10,15,17,40,44,7,10,0.000200
7,8,15,38,46,6,9,0.000200
17,24,32,46,50,3,11,0.000200
11,29,39,40,49,7,8,0.000200
15,19,23,39,44,3,8,0.000200
7,11,17,20,46,6,10,0.000200
11,14,28,33,41,3,12,0.000200
7,13,34,39,50,9,12,0.000200
21,33,34,43,50,5,9,0.000200
5,20,30,40,49,3,6,0.000200
1,3,23,32,45,10,12,0.000200
3,5,19,35,41,8,9,0.000200
13,19,31,32,33,5,12,0.000200
2,5,14,32,50,4,8,0.000200
3,10,23,33,42,9,11,0.000200
18,19,21,27,46,7,11,0.000200
6,10,24,25,38,7,11,0.000200
18,28,30,35,48,3,6,0.000200
7,14,21,42,50,2,7,0.000200
17,21,31,48,50,5,6,0.000200
6,24,29,38,48,1,9,0.000200
4,9,28,34,36,6,7,0.000200
13,15,18,23,36,7,11,0.000200
1,7,23,34,46,6,9,0.000200
14,28,32,34,48,1,6,0.000200
1,4,11,16,32,10,11,0.000200
14,31,40,44,49,5,10,0.000200
3,8,34,44,50,3,10,0.000200
10,13,20,26,40,6,11,0.000200
21,24,31,45,50,2,3,0.000200
7,9,29,39,46,8,10,0.000200
9,25,29,33,34,2,11,0.000200
2,13,14,34,38,3,10,0.000200
12,18,39,41,50,3,7,0.000200
3,13,17,34,38,6,11,0.000200
1,10,12,16,26,1,7,0.000200
15,23,29,42,45,1,4,0.000200
7,25,26,31,38,6,8,0.000200
7,24,28,32,42,2,6,0.000200
1,19,25,26,46,1,2,0.000200
6,10,19,21,27,7,8,0.000200
3,12,25,27,40,9,11,0.000200
1,6,14,30,50,2,12,0.000200
16,22,23,30,34,1,7,0.000200
6,12,17,34,46,1,6,0.000200
1,2,10,17,38,2,9,0.000200
4,12,29,30,49,4,7,0.000200
12,30,37,48,49,2,3,0.000200
5,14,32,47,50,3,5,0.000200
1,5,26,32,33,9,10,0.000200
3,6,22,27,49,6,10,0.000200
9,10,20,35,40,2,9,0.000200
19,22,26,33,34,2,5,0.000200
1,2,16,34,45,4,8,0.000200
2,26,31,43,50,3,4,0.000200
12,13,15,29,44,5,7,0.000200
7,21,27,35,39,3,9,0.000200
9,13,18,23,42,3,8,0.000200
10,25,27,28,47,7,8,0.000200
3,10,14,44,49,1,9,0.000200
16,17,27,35,49,9,12,0.000200
15,19,22,32,48,3,12,0.000200
12,19,21,25,35,1,7,0.000200
3,13,20,32,50,1,8,0.000200
3,9,17,39,43,1,4,0.000200
5,16,21,24,35,4,8,0.000200
4,21,27,38,45,6,7,0.000200
20,30,34,35,39,1,5,0.000200
13,22,25,40,45,7,8,0.000200
3,11,15,32,48,10,11,0.000200
12,23,27,32,48,5,6,0.000200
13,29,39,44,49,5,8,0.000200
18,23,31,34,50,7,10,0.000200
2,23,24,31,47,7,8,0.000200
1,13,18,22,33,2,5,0.000200
3,11,19,37,44,3,8,0.000200
7,21,22,25,39,3,7,0.000200
14,15,40,45,50,8,9,0.000200
11,21,41,42,50,5,6,0.000200
11,29,35,40,41,6,7,0.000200
2,8,38,41,47,1,9,0.000200
1,4,6,17,19,3,4,0.000200
5,10,25,33,47,2,4,0.000200
8,16,28,36,40,7,11,0.000200
13,14,30,33,42,3,4,0.000200
8,14,21,30,46,6,9,0.000200
11,24,29,47,50,4,6,0.000200
21,34,36,37,48,5,11,0.000200
15,25,27,37,46,1,7,0.000200
5,16,24,30,50,9,11,0.000200
6,21,22,43,50,3,10,0.000200
2,18,29,35,40,7,12,0.000200
11,20,38,45,48,7,11,0.000200
4,14,20,26,32,2,5,0.000200
4,16,36,48,50,4,7,0.000200
6,8,13,37,43,1,5,0.000200
1,17,28,41,45,4,5,0.000200
8,9,14,41,46,2,10,0.000200
1,10,15,25,39,2,12,0.000200
4,23,36,44,45,4,11,0.000200
12,21,23,44,46,2,7,0.000200
1,12,24,26,37,7,10,0.000200
2,16,18,29,32,2,9,0.000200
9,13,20,22,50,7,9,0.000200
10,31,34,45,50,1,5,0.000200
7,20,27,29,43,4,12,0.000200
12,20,23,34,40,7,9,0.000200
19,29,43,46,48,2,10,0.000200
16,30,37,42,44,4,6,0.000200
21,35,41,43,46,3,10,0.000200
7,19,31,38,50,5,9,0.000200
11,28,37,39,43,8,9,0.000200
1,13,23,30,41,1,5,0.000200
12,17,21,28,47,5,11,0.000200
9,28,31,43,50,3,10,0.000200
1,16,18,47,50,7,11,0.000200
21,23,26,36,42,8,11,0.000200
2,23,30,36,43,5,12,0.000200
4,18,37,41,42,3,9,0.000200
14,16,36,42,46,5,9,0.000200
7,9,12,31,34,3,7,0.000200
2,7,14,31,48,3,12,0.000200
2,4,9,31,37,5,9,0.000200
10,14,28,32,47,4,8,0.000200
3,6,21,22,25,9,10,0.000200
9,10,30,31,40,7,8,0.000200
2,4,14,25,49,2,10,0.000200
2,13,14,19,29,3,5,0.000200
2,6,11,32,47,2,9,0.000200
21,23,32,34,38,2,3,0.000200
2,5,7,24,50,2,5,0.000200
33,37,38,44,48,9,10,0.000200
26,29,35,39,40,6,7,0.000200
16,28,34,44,50,8,10,0.000200
15,18,19,21,32,3,11,0.000200
3,17,24,25,48,1,3,0.000200
3,8,15,21,28,4,10,0.000200
2,20,23,31,49,1,4,0.000200
34,43,44,46,48,3,6,0.000200
12,20,35,44,48,9,11,0.000200
13,24,30,48,49,7,11,0.000200
11,21,23,31,36,8,12,0.000200
19,20,30,37,49,3,6,0.000200
14,20,24,40,46,4,9,0.000200
10,13,26,37,48,1,6,0.000200
9,17,22,44,48,4,11,0.000200
3,8,23,25,39,2,8,0.000200
6,20,25,28,35,6,9,0.000200
3,4,19,43,44,1,12,0.000200
10,14,36,40,41,9,10,0.000200
3,16,33,38,45,7,10,0.000200
7,9,35,39,45,6,7,0.000200
20,42,47,48,50,1,11,0.000200
11,21,33,38,46,2,9,0.000200
3,6,12,19,40,3,10,0.000200
17,22,30,40,42,3,5,0.000200
2,24,35,47,50,3,8,0.000200
3,7,31,38,50,1,4,0.000200
11,13,25,44,49,5,7,0.000200
2,3,12,29,39,1,5,0.000200
2,19,35,37,45,3,5,0.000200
1,15,24,31,33,3,4,0.000200
1,25,39,45,46,5,8,0.000200
1,7,8,17,28,2,7,0.000200
1,2,14,27,29,1,3,0.000200
17,20,38,47,50,2,7,0.000200
10,14,32,46,48,2,5,0.000200
11,23,26,28,44,1,9,0.000200
4,6,8,19,37,5,7,0.000200
16,18,24,26,42,3,9,0.000200
9,16,35,37,40,2,6,0.000200
24,30,44,45,46,3,6,0.000200
4,22,23,48,50,4,9,0.000200
3,21,27,39,42,5,8,0.000200
1,4,7,9,34,4,9,0.000200
10,20,32,35,42,7,8,0.000200
15,28,37,44,49,1,8,0.000200
2,9,24,40,44,3,12,0.000200
3,4,8,27,42,3,8,0.000200
2,6,15,22,25,5,10,0.000200
5,6,26,40,45,3,12,0.000200
6,9,22,35,47,3,6,0.000200
11,24,31,33,42,3,11,0.000200
1,28,31,37,38,1,8,0.000200
12,29,35,42,43,4,6,0.000200
2,26,27,34,36,9,11,0.000200
11,12,17,36,41,1,7,0.000200
2,15,17,18,21,5,6,0.000200
1,15,17,29,45,4,9,0.000200
7,36,38,43,44,2,9,0.000200
23,33,39,43,45,1,3,0.000200
1,32,34,39,50,3,10,0.000200
10,23,39,41,42,5,8,0.000200
1,14,32,35,37,4,5,0.000200
7,15,30,38,50,6,12,0.000200
17,20,27,35,39,2,6,0.000200
4,5,25,31,44,3,5,0.000200
2,15,34,43,48,5,6,0.000200
1,14,20,22,32,8,12,0.000200
15,17,24,30,40,3,8,0.000200
12,15,22,23,31,8,9,0.000200
3,6,7,15,46,3,5,0.000200
15,33,41,42,50,3,5,0.000200
28,34,37,38,44,2,12,0.000200
2,16,27,29,30,1,3,0.000200
10,24,36,45,48,2,8,0.000200
2,25,27,46,47,7,8,0.000200
7,24,36,38,50,3,8,0.000200
4,22,47,48,50,6,7,0.000200
21,26,30,37,39,2,3,0.000200
5,11,19,22,45,6,8,0.000200
6,13,29,39,42,6,12,0.000200
1,10,18,24,35,4,6,0.000200
9,17,18,44,49,2,3,0.000200
2,15,39,40,42,7,11,0.000200
11,32,38,40,48,5,8,0.000200
23,36,41,45,50,8,12,0.000200
1,5,6,22,25,6,8,0.000200
4,22,28,32,35,2,10,0.000200
8,11,18,36,41,2,11,0.000200
13,20,21,35,45,8,11,0.000200
6,10,23,44,49,6,7,0.000200
18,30,38,39,45,2,9,0.000200
10,13,23,33,47,3,10,0.000200
1,2,23,24,40,3,7,0.000200
4,9,23,42,48,8,10,0.000200
5,22,29,35,50,6,8,0.000200
5,10,24,43,45,1,4,0.000200
2,5,35,45,49,1,5,0.000200
24,31,43,45,46,1,5,0.000200
18,19,20,36,38,5,10,0.000200
17,24,31,46,47,6,8,0.000200
7,10,27,33,47,2,12,0.000200
9,13,29,39,47,3,4,0.000200
7,15,22,24,29,8,9,0.000200
10,23,26,38,43,3,5,0.000200
8,13,33,41,47,2,9,0.000200
18,23,25,32,50,4,10,0.000200
10,29,41,42,47,4,6,0.000200
8,13,36,40,44,3,4,0.000200
10,14,23,43,49,3,7,0.000200
1,37,40,45,48,5,9,0.000200
17,25,30,42,43,5,7,0.000200
3,6,14,19,37,1,9,0.000200
1,21,26,34,42,1,11,0.000200
5,20,23,37,38,5,10,0.000200
15,25,30,31,37,3,11,0.000200
9,13,20,30,45,3,7,0.000200
2,3,5,6,38,1,2,0.000200
8,20,24,25,37,1,9,0.000200
8,28,30,31,36,1,10,0.000200
17,27,30,34,36,2,12,0.000200
18,35,39,40,42,2,11,0.000200
15,20,23,32,43,4,8,0.000200
12,25,33,38,44,6,9,0.000200
21,26,36,43,44,1,11,0.000200
2,5,13,16,25,1,6,0.000200
12,34,40,42,44,1,12,0.000200
10,12,22,49,50,3,5,0.000200
3,24,27,31,42,6,9,0.000200
9,24,25,36,42,2,10,0.000200
1,9,22,33,46,2,11,0.000200
23,26,31,37,48,1,3,0.000200
1,29,36,40,44,6,12,0.000200
4,7,24,25,34,4,7,0.000200
2,11,23,45,46,2,8,0.000200
3,14,26,46,47,3,7,0.000200
10,19,21,34,49,1,7,0.000200
1,7,28,37,44,2,12,0.000200
1,19,33,39,44,1,8,0.000200
33,34,38,46,50,6,12,0.000200
5,11,32,37,50,4,8,0.000200
13,14,19,35,39,6,9,0.000200
9,27,39,42,43,6,11,0.000200
1,6,15,23,32,6,7,0.000200
13,14,30,31,38,4,7,0.000200
2,19,23,24,41,3,8,0.000200
10,15,29,33,36,10,12,0.000200
1,2,41,43,44,7,9,0.000200
13,14,22,36,45,2,7,0.000200
1,5,10,14,28,3,5,0.000200
5,15,34,38,43,4,12,0.000200
10,24,27,36,40,10,12,0.000200
7,8,9,33,50,9,11,0.000200
9,15,28,29,38,4,9,0.000200
5,12,17,19,32,2,9,0.000200
2,4,18,21,34,3,7,0.000200
7,13,30,46,47,6,8,0.000200
5,29,33,47,49,2,8,0.000200
6,10,29,31,50,6,9,0.000200
6,14,38,44,50,2,5,0.000200
16,17,23,38,43,2,10,0.000200
17,26,38,39,43,8,9,0.000200
13,25,26,30,43,3,8,0.000200
9,16,17,28,36,2,5,0.000200
1,10,34,36,46,2,3,0.000200
1,21,28,31,37,2,7,0.000200
8,21,24,30,37,4,8,0.000200
3,5,9,14,45,2,3,0.000200
3,9,23,25,26,5,8,0.000200
15,32,33,42,43,4,6,0.000200
6,20,23,26,41,4,8,0.000200
13,19,23,29,50,2,3,0.000200
18,28,30,41,47,11,12,0.000200
9,41,42,43,45,8,10,0.000200
7,21,22,30,45,1,2,0.000200
3,11,13,15,43,4,7,0.000200
11,21,25,33,48,2,3,0.000200
27,34,38,39,42,1,11,0.000200
9,17,19,27,37,5,8,0.000200
5,17,29,36,39,1,2,0.000200
2,10,25,43,48,2,7,0.000200
12,23,24,36,42,2,11,0.000200
1,20,37,39,49,2,3,0.000200
3,19,25,32,33,5,9,0.000200
15,23,26,33,43,2,7,0.000200
15,29,35,38,41,2,9,0.000200
9,28,32,45,48,11,12,0.000200
14,22,25,31,38,2,4,0.000200
4,18,20,23,36,2,8,0.000200
4,10,45,48,50,6,10,0.000200
1,18,32,35,48,3,5,0.000200
4,16,19,32,49,2,7,0.000200
11,20,37,39,45,8,9,0.000200
9,16,19,39,49,3,9,0.000200
11,17,30,32,50,8,12,0.000200
1,9,12,35,42,4,8,0.000200
3,24,26,38,46,3,6,0.000200
4,8,18,35,45,2,7,0.000200
1,7,13,33,49,1,11,0.000200
11,14,16,25,37,2,3,0.000200
14,16,18,19,46,1,8,0.000200
14,26,28,32,38,4,9,0.000200
3,39,41,45,47,2,5,0.000200
10,29,31,39,42,3,8,0.000200
13,18,39,41,42,1,4,0.000200
4,15,39,47,48,9,12,0.000200
8,24,35,38,39,5,9,0.000200
13,23,31,32,48,6,12,0.000200
17,39,42,44,48,5,7,0.000200
27,36,37,39,40,1,10,0.000200
4,6,28,34,44,1,12,0.000200
6,8,21,33,34,8,11,0.000200
30,31,35,39,41,8,11,0.000200
7,9,14,29,46,7,9,0.000200
1,5,28,34,46,2,3,0.000200
3,8,18,34,38,3,9,0.000200
7,10,16,19,28,2,3,0.000200
5,6,12,14,40,2,3,0.000200
24,28,32,44,49,2,5,0.000200
3,9,34,35,45,4,6,0.000200
14,19,28,47,49,7,10,0.000200
19,22,30,38,43,3,11,0.000200
5,7,16,20,43,3,8,0.000200
13,16,31,36,42,7,11,0.000200
27,37,41,43,48,8,9,0.000200
34,40,42,43,50,7,8,0.000200
9,18,24,29,44,1,3,0.000200
3,12,26,37,40,6,8,0.000200
12,13,15,28,33,2,8,0.000200
8,22,39,48,49,2,6,0.000200
6,19,33,42,45,3,7,0.000200
7,13,19,38,44,1,10,0.000200
7,9,12,34,48,9,11,0.000200
9,21,28,35,44,3,5,0.000200
2,7,11,25,35,8,9,0.000200
16,32,34,43,44,2,5,0.000200
10,17,28,42,45,7,10,0.000200
20,26,40,41,50,2,7,0.000200
15,18,23,46,48,5,6,0.000200
2,5,19,33,40,7,10,0.000200
1,18,26,47,48,8,11,0.000200
15,26,34,41,49,10,11,0.000200
17,23,35,39,44,3,7,0.000200
10,11,26,38,40,1,9,0.000200
2,9,29,31,46,2,10,0.000200
5,11,16,32,38,4,10,0.000200
2,10,11,27,43,8,10,0.000200
1,5,7,11,44,4,12,0.000200
8,39,43,46,47,2,10,0.000200
13,25,40,41,42,3,4,0.000200
3,18,28,37,44,9,10,0.000200
3,10,19,24,46,7,8,0.000200
15,18,19,23,27,4,8,0.000200
8,10,11,28,50,2,3,0.000200
3,11,14,29,39,1,9,0.000200
4,16,20,39,45,5,9,0.000200
9,10,22,23,50,8,11,0.000200
10,26,27,30,41,8,9,0.000200
9,19,30,43,47,7,10,0.000200
25,29,33,37,43,4,11,0.000200
